ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Managing prediabetes through diet is a great step to help stabilize blood sugar levels, reduce the risk of progressing to type 2 diabetes, and improve overall health."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Focus on Low Glycemic Index (GI) Foods
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Non-starchy vegetables (like leafy greens, bell peppers, cucumbers), legumes, whole grains (quinoa, barley, whole oats), berries, and nuts."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Low-GI foods cause slower rises in blood glucose, helping to avoid spikes that can worsen insulin resistance."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Whole fruits (apples, pears, berries), vegetables, whole grains, and legumes."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Fiber slows digestion, helping stabilize blood sugar and improve insulin sensitivity."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Aim for about 25-35 grams of fiber daily.
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Reduce Refined Carbohydrates and Sugars
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Limit: White bread, pastries, soda, candies, and sugary cereals."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Why: These foods can cause quick spikes in blood sugar.
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Instead, opt for whole foods that have natural sugars paired with fiber, which helps moderate blood sugar response."
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Include Lean Proteins in Each Meal
