ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"For prediabetes, managing blood sugar levels and preventing progression to diabetes is key."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Focus on Low Glycemic Index (GI) Foods
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Choose complex carbohydrates: Whole grains like oats, barley, and quinoa are preferable to refined carbs (e.g., white bread and pastries)."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Include more fiber: Fiber slows sugar absorption, which can stabilize blood sugar."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Foods high in fiber include vegetables, fruits (especially with the skin), beans, and whole grains."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Limit Added Sugars and Refined Carbs
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Avoid sugary drinks, candies, and processed snacks."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Swap high-sugar foods for naturally sweet options like berries, which have less impact on blood sugar."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Read food labels to keep added sugars to a minimum.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Include sources of healthy fats, such as avocados, nuts, seeds, and olive oil, which can help improve insulin sensitivity."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Be mindful of portion sizes, as fats are calorie-dense."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Eat Balanced Meals with Protein
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Protein slows the absorption of carbohydrates, helping to stabilize blood sugar."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Include lean proteins such as chicken, fish, tofu, and legumes in meals."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Try to balance meals by including protein, healthy fats, and fiber-rich carbs."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Keeping portions moderate can help manage weight and prevent blood sugar spikes.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Using smaller plates and measuring portions can help.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Stay Consistent with Meal Timing
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Eating meals and snacks at regular intervals helps keep blood sugar levels stable.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Avoid skipping meals, which can lead to large swings in blood sugar."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Water is the best choice.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"Aim to minimize sugary beverages, and be cautious with fruit juices, as they can cause rapid blood sugar spikes."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,•Alcohol can interfere with blood sugar levels and insulin sensitivity.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Moderate consumption (no more than one drink per day for women and two for men) is advisable.
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Include Plenty of Non-Starchy Vegetables
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•Vegetables like leafy greens, peppers, broccoli, and cauliflower are high in fiber and low in calories, helping to maintain blood sugar control and support overall health."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Consider Working with a Dietitian
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,"•A registered dietitian, especially one who specializes in diabetes or prediabetes, can help create a personalized meal plan that fits your needs and goals."
7,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,2,,1,1,1,Combining these dietary changes with regular physical activity can significantly improve blood sugar control and reduce the risk of progressing to type 2 diabetes.
18,2,"I have prediabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,2,,4,1,1,"For managing prediabetes, regular physical activity is a key part of preventing progression to Type 2 diabetes."
18,2,"I have prediabetes, what are your recommendations on physical activity / exercise?",ChatGpt 4o,2,,4,1,1,Focus on Aerobic Exercise
